,PID,RA,DEC,EPOC,SUBREGION,NAME,"ATLAS
+GALEX",SDSS,"ATLAS
+ST.LOCUS",Comments
161,STRIPE82,352.913,0.7,2000,STRIPE82,STRIPE82-0162,1.0,0.0,,larger scatter for FWHM_n
162,STRIPE82,354.329,-0.7,2000,STRIPE82,STRIPE82-0163,1.0,0.0,,
163,STRIPE82,354.329,0.7,2000,STRIPE82,STRIPE82-0164,1.0,0.0,,
164,STRIPE82,355.75,-0.7,2000,STRIPE82,STRIPE82-0165,1.0,0.0,,
165,STRIPE82,355.75,0.7,2000,STRIPE82,STRIPE82-0166,1.0,0.0,,"ATLAS_GALEX partially covered, (422 reference stars) "
166,STRIPE82,357.167,-0.7,2000,STRIPE82,STRIPE82-0167,1.0,0.0,,Slightly bad class_star
167,STRIPE82,357.167,0.7,2000,STRIPE82,STRIPE82-0168,1.0,0.0,,
168,STRIPE82,358.583,-0.7,2000,STRIPE82,STRIPE82-0169,1.0,0.0,,
169,STRIPE82,358.583,0.7,2000,STRIPE82,STRIPE82-0170,1.0,0.0,,
170,MC,67.692,-63.268,2000,MC,MC0001,,,,
171,MC,70.771,-63.268,2000,MC,MC0002,,,,
172,MC,73.846,-63.268,2000,MC,MC0003,,,,
173,MC,76.925,-63.268,2000,MC,MC0004,,,,
174,MC,80.0,-63.268,2000,MC,MC0005,,,,
175,MC,83.075,-63.268,2000,MC,MC0006,,,,
176,MC,86.154,-63.268,2000,MC,MC0007,,,,
177,MC,89.229,-63.268,2000,MC,MC0008,,,,
178,MC,92.30799999999999,-63.268,2000,MC,MC0009,,,,
179,MC,95.383,-63.268,2000,MC,MC0010,,,,
180,MC,67.5,-64.569,2000,MC,MC0011,,,,
181,MC,70.71300000000001,-64.569,2000,MC,MC0012,,,,
182,MC,73.929,-64.569,2000,MC,MC0013,,,,
183,MC,77.142,-64.569,2000,MC,MC0014,,,,
184,MC,80.358,-64.569,2000,MC,MC0015,,,,
185,MC,83.571,-64.569,2000,MC,MC0016,,,,
186,MC,86.788,-64.569,2000,MC,MC0017,,,,
187,MC,90.0,-64.569,2000,MC,MC0018,,,,
188,MC,93.213,-64.569,2000,MC,MC0019,,,,
189,MC,96.429,-64.569,2000,MC,MC0020,,,,
190,MC,70.654,-65.863,2000,MC,MC0021,,,,
191,MC,74.017,-65.863,2000,MC,MC0022,,,,
192,MC,77.383,-65.863,2000,MC,MC0023,,,,
193,MC,80.74600000000001,-65.863,2000,MC,MC0024,,,,
194,MC,84.113,-65.863,2000,MC,MC0025,,,,
195,MC,87.475,-65.863,2000,MC,MC0026,,,,
196,MC,90.84200000000001,-65.863,2000,MC,MC0027,,,,
197,MC,94.204,-65.863,2000,MC,MC0028,,,,
198,MC,70.58800000000001,-67.15100000000001,2000,MC,MC0029,,,,
199,MC,74.117,-67.15100000000001,2000,MC,MC0030,,,,
200,MC,77.646,-67.15100000000001,2000,MC,MC0031,,,,
201,MC,81.175,-67.15100000000001,2000,MC,MC0032,,,,
202,MC,84.704,-67.15100000000001,2000,MC,MC0033,,,,
203,MC,88.23299999999999,-67.15100000000001,2000,MC,MC0034,,,,
204,MC,91.76700000000001,-67.15100000000001,2000,MC,MC0035,,,,
205,MC,95.296,-67.15100000000001,2000,MC,MC0036,,,,
206,MC,70.517,-68.432,2000,MC,MC0037,,,,
207,MC,74.225,-68.432,2000,MC,MC0038,,,,
208,MC,77.938,-68.432,2000,MC,MC0039,,,,
209,MC,81.65,-68.432,2000,MC,MC0040,,,,
210,MC,85.363,-68.432,2000,MC,MC0041,,,,
211,MC,89.071,-68.432,2000,MC,MC0042,,,,
212,MC,92.78299999999999,-68.432,2000,MC,MC0043,,,,
213,MC,96.49600000000001,-68.432,2000,MC,MC0044,,,,
214,MC,3.9539999999999997,-69.706,2000,MC,MC0045,,,,
215,MC,7.912999999999999,-69.706,2000,MC,MC0046,,,,
216,MC,11.867,-69.706,2000,MC,MC0047,,,,
217,MC,15.825,-69.706,2000,MC,MC0048,,,,
218,MC,19.779,-69.706,2000,MC,MC0049,,,,
219,MC,23.738000000000003,-69.706,2000,MC,MC0050,,,,
220,MC,27.691999999999997,-69.706,2000,MC,MC0051,,,,
221,MC,31.65,-69.706,2000,MC,MC0052,,,,
222,MC,35.604,-69.706,2000,MC,MC0053,,,,
223,MC,39.563,-69.706,2000,MC,MC0054,,,,
224,MC,43.516999999999996,-69.706,2000,MC,MC0055,,,,
225,MC,47.471000000000004,-69.706,2000,MC,MC0056,,,,
226,MC,51.428999999999995,-69.706,2000,MC,MC0057,,,,
227,MC,55.383,-69.706,2000,MC,MC0058,,,,
228,MC,59.342,-69.706,2000,MC,MC0059,,,,
229,MC,63.29600000000001,-69.706,2000,MC,MC0060,,,,
230,MC,67.25399999999999,-69.706,2000,MC,MC0061,,,,
231,MC,71.208,-69.706,2000,MC,MC0062,,,,
232,MC,75.167,-69.706,2000,MC,MC0063,,,,
233,MC,79.12100000000001,-69.706,2000,MC,MC0064,,,,
234,MC,83.075,-69.706,2000,MC,MC0065,,,,
235,MC,87.03299999999999,-69.706,2000,MC,MC0066,,,,
236,MC,90.988,-69.706,2000,MC,MC0067,,,,
237,MC,94.946,-69.706,2000,MC,MC0068,,,,
238,MC,4.188,-70.967,2000,MC,MC0069,,,,
239,MC,8.371,-70.967,2000,MC,MC0070,,,,
240,MC,12.558,-70.967,2000,MC,MC0071,,,,
241,MC,16.746,-70.967,2000,MC,MC0072,,,,
242,MC,20.929000000000002,-70.967,2000,MC,MC0073,,,,
243,MC,25.116999999999997,-70.967,2000,MC,MC0074,,,,
244,MC,29.304000000000002,-70.967,2000,MC,MC0075,,,,
245,MC,33.488,-70.967,2000,MC,MC0076,,,,
246,MC,37.675,-70.967,2000,MC,MC0077,,,,
247,MC,41.863,-70.967,2000,MC,MC0078,,,,
248,MC,46.04600000000001,-70.967,2000,MC,MC0079,,,,
249,MC,50.233000000000004,-70.967,2000,MC,MC0080,,,,
250,MC,54.417,-70.967,2000,MC,MC0081,,,,
251,MC,58.604,-70.967,2000,MC,MC0082,,,,
252,MC,62.792,-70.967,2000,MC,MC0083,,,,
253,MC,66.975,-70.967,2000,MC,MC0084,,,,
254,MC,71.163,-70.967,2000,MC,MC0085,,,,
255,MC,75.35,-70.967,2000,MC,MC0086,,,,
256,MC,79.533,-70.967,2000,MC,MC0087,,,,
257,MC,83.721,-70.967,2000,MC,MC0088,,,,
258,MC,87.90799999999999,-70.967,2000,MC,MC0089,,,,
259,MC,92.09200000000001,-70.967,2000,MC,MC0090,,,,
260,MC,96.279,-70.967,2000,MC,MC0091,,,,
261,MC,8.888,-72.219,2000,MC,MC0093,,,,
262,MC,13.333,-72.219,2000,MC,MC0094,,,,
263,MC,17.779,-72.219,2000,MC,MC0095,,,,
264,MC,22.221,-72.219,2000,MC,MC0096,,,,
265,MC,26.666999999999998,-72.219,2000,MC,MC0097,,,,
266,MC,31.113000000000003,-72.219,2000,MC,MC0098,,,,
267,MC,35.554,-72.219,2000,MC,MC0099,,,,
268,MC,40.0,-72.219,2000,MC,MC0100,,,,
269,MC,44.446000000000005,-72.219,2000,MC,MC0101,,,,
270,MC,48.888000000000005,-72.219,2000,MC,MC0102,,,,
271,MC,53.333,-72.219,2000,MC,MC0103,,,,
272,MC,57.778999999999996,-72.219,2000,MC,MC0104,,,,
273,MC,62.221000000000004,-72.219,2000,MC,MC0105,,,,
274,MC,66.667,-72.219,2000,MC,MC0106,,,,
275,MC,71.113,-72.219,2000,MC,MC0107,,,,
276,MC,75.554,-72.219,2000,MC,MC0108,,,,
277,MC,80.0,-72.219,2000,MC,MC0109,,,,
278,MC,84.446,-72.219,2000,MC,MC0110,,,,
279,MC,88.88799999999999,-72.219,2000,MC,MC0111,,,,
280,MC,93.333,-72.219,2000,MC,MC0112,,,,
281,MC,4.738,-73.462,2000,MC,MC0113,,,,
282,MC,9.475,-73.462,2000,MC,MC0114,,,,
283,MC,14.213,-73.462,2000,MC,MC0115,,,,
284,MC,18.945999999999998,-73.462,2000,MC,MC0116,,,,
285,MC,23.683000000000003,-73.462,2000,MC,MC0117,,,,
286,MC,28.421,-73.462,2000,MC,MC0118,,,,
287,MC,33.158,-73.462,2000,MC,MC0119,,,,
288,MC,37.896,-73.462,2000,MC,MC0120,,,,
289,MC,42.633,-73.462,2000,MC,MC0121,,,,
290,MC,47.367,-73.462,2000,MC,MC0122,,,,
291,MC,52.104,-73.462,2000,MC,MC0123,,,,
292,MC,56.842,-73.462,2000,MC,MC0124,,,,
293,MC,61.57899999999999,-73.462,2000,MC,MC0125,,,,
294,MC,66.317,-73.462,2000,MC,MC0126,,,,
295,MC,71.054,-73.462,2000,MC,MC0127,,,,
296,MC,75.788,-73.462,2000,MC,MC0128,,,,
297,MC,80.525,-73.462,2000,MC,MC0129,,,,
298,MC,85.26299999999999,-73.462,2000,MC,MC0130,,,,
299,MC,90.0,-73.462,2000,MC,MC0131,,,,
300,MC,94.738,-73.462,2000,MC,MC0132,,,,
301,MC,5.142,-74.693,2000,MC,MC0133,,,,
302,MC,10.288,-74.693,2000,MC,MC0134,,,,
303,MC,15.429,-74.693,2000,MC,MC0135,,,,
304,MC,20.570999999999998,-74.693,2000,MC,MC0136,,,,
305,MC,25.713,-74.693,2000,MC,MC0137,,,,
306,MC,30.858,-74.693,2000,MC,MC0138,,,,
